Name,Age,Salary,Department,Join Date,Phone No,Unwanted Data
Alice\,25,50000,HR,2020-01-15,123-456-7890,NaN
Bob|,30,54000,IT,2019-02-20,(987) 654-3210,NaN
"Charlie,",35,NaN,HR,2021-03-25,987654321,NaN
David.,40,61000,IT,2020-01-15,123.456.7890,NaN
Edward,,66000,Finance,2018-07-30,-6909,NaN
Alice,25,50000,HR,2020-01-15,456-789-0123,NaN
NaN,,42000,Finance,2019-08-10,789-012-3456,NaN
George,40,61000,IT,2019-02-20,555-5555,NaN
Hannah,34>,58000,Finance,2020-11-11,1234567890,NaN
Ian,,1200000,HR,2020-05-21,(123)456-7890,NaN
Jacob,23,54000,IT,NaN,#ERROR!,NaN
Kevin,30,NaN,Finance,2021-04-01,098-765-4321,NaN
Laura,,50000,NaN,2020-01-15,(800)555-5555,NaN
Martin|,34,57000,IT,2020-02-20,-6910,NaN
"Nancy,",26,62000,HR,2020-01-05,999.999.9999,NaN
Olivia<,23,49000,Finance,2018-03-15,012-345-6789,NaN
Paul,,54000,IT,2019-04-10,555-1234,NaN
Quinn,29,67000,HR,2020-12-20,(555)555-5555,NaN
Rachel,37,,Finance,2019-07-30,-6664,NaN
Steven,31,55000,IT,2018-09-15,999-888-7777,NaN
Tony,33,NaN,HR,2020-02-25,111-222-3333,NaN
Uma,,56000,Finance,2018-11-20,123.123.1234,NaN
Victor,28,65000,IT,2019-01-10,#ERROR!,NaN
Wendy,39,59000,HR,2020-03-05,444-555-6666,NaN
Xander,27,52000,Finance,2018-05-25,555.555.5555,NaN
Yolanda,NaN,61000,IT,2021-06-15,987.654.3210,NaN
Zach,36<,58000,HR,2019-10-20,321-654-9870,NaN
Rachel,37,,Finance,2019-07-30,(800)555-5555,NaN
Steven,,55000,IT,2018-09-15,-6911,NaN
Tony,33,NaN,HR,2020-02-25,,NaN
Uma,30,56000,Finance,2018-11-20,123-321-1234,NaN
Victor,28,65000,IT,2019-01-10,555.123.4567,NaN
Wendy,39,59000,HR,2020-03-05,123-555-7890,NaN
Xander,27,52000,Finance,2018-05-25,(888)555-5555,NaN
Yolanda,NaN,,IT,2021-06-15,999-999-9999,NaN
Zach,36,58000,HR,2019-10-20,888.777.6666,NaN
Laura,25,50000,NaN,2020-01-15,555-777-8888,NaN
Martin,,57000,IT,2020-02-20,111-555-7777,NaN
Nancy,26,62000,HR,2020-01-05,666-999-3333,NaN
